Author,Year,Survey_Name,Survey_Construct,Item_Number,Survey_Item_Number,Item
Kasl et al.,1997,Team_Learning_Processes,Team_Learning_Processes,1,TLP_1,We share personal insights or learning with one another.
Kasl et al.,1997,Team_Learning_Processes,Team_Learning_Processes,2,TLP_2,We often learn through trying out new behaviors.
Kasl et al.,1997,Team_Learning_Processes,Team_Learning_Processes,3,TLP_3,We learned to drop our departmental perspectives and think from an organization-wide perspective.
Kasl et al.,1997,Team_Learning_Processes,Team_Learning_Processes,4,TLP_4,We change our perspectives about ourselves and others.
Kasl et al.,1997,Team_Learning_Processes,Team_Learning_Processes,6,TLP_6,We try out new approaches to our jobs as a result of the team’s work.
Kasl et al.,1997,Team_Learning_Processes,Team_Learning_Processes,7,TLP_7,The act of working collaboratively results in greater learning for each of us than if we had worked alone
Kasl et al.,1997,Team_Learning_Processes,Team_Learning_Processes,8,TLP_8,We generally incorporate the perspectives of most members in analyzing problems and making decisions.
Kasl et al.,1997,Team_Learning_Processes,Team_Learning_Processes,9,TLP_9,We often find that our views of the problem change as a result of our team discussion.
Kasl et al.,1997,Team_Learning_Processes,Team_Learning_Processes,10,TLP_10,We invite people from outside the team to present information or have discussion with us.
Kasl et al.,1997,Team_Learning_Processes,Team_Learning_Processes,11,TLP_11,We listen to the perspectives of every member in the team.
Kasl et al.,1997,Team_Learning_Processes,Team_Learning_Processes,12,TLP_12,We generally revise our viewpoints based on input or new information from others outside our team.
Kasl et al.,1997,Team_Learning_Processes,Team_Learning_Processes,13,TLP_13,We change our behavior as a result of seeing other team members change.
Kasl et al.,1997,Team_Learning_Processes,Team_Learning_Processes,14,TLP_14,We share what we learn from our team with others outside the team.
Kasl et al.,1997,Team_Learning_Processes,Team_Learning_Processes,15,TLP_15,We challenge our basic beliefs or assumptions about the issues under discussion.
Kasl et al.,1997,Team_Learning_Processes,Team_Learning_Processes,16,TLP_16,We increase our knowledge base by going outside of our team for information
Edmondson,1999,Team_Learning_edmondsonTM,Team_Learning,1,TLTM_1,We regularly take time to figure out ways to improve our team's work processes.
Edmondson,1999,Team_Learning_edmondsonTM,Team_Learning,2,TLTM_2,"This team tends to handle differences of opinion privately or offline, rather than addressing them directly as a team."
Edmondson,1999,Team_Learning_edmondsonTM,Team_Learning,3,TLTM_3,"Team members go out and get all the information they possibly can from others, such as customers, or other parts of the organization."
Edmondson,1999,Team_Learning_edmondsonTM,Team_Learning,4,TLTM_4,This team frequently seeks new information that leads us to make important changes.
Drach-Zahavy et al.,2001,Learning_drach,Learning_Processes,1,dzL_1,My team members and I criticize each others work in order to improve teaching
Drach-Zahavy et al.,2001,Learning_drach,Learning_Processes,2,dzL_2,My team members are prepared to reflect on the way they act
Drach-Zahavy et al.,2001,Learning_drach,Learning_Processes,3,dzL_3,My team members and I engage in evaluating our weak points in attaining effectiveness
Drach-Zahavy et al.,2001,Learning_drach,Learning_Processes,4,dzL_4,The team often utilizes the different opinions for the sake of obtaining optimal outcomes
van Offenbeek,2001,Learning_Activities,Distributing_Information,1,LA_1,Received information from other team
van Offenbeek,2001,Learning_Activities,Distributing_Information,2,LA_2,Distributed information to other team
van Offenbeek,2001,Learning_Activities,Distributing_Information,4,LA_4,Gained information through working with other team
van Offenbeek,2001,Learning_Activities,Convergent_Sensemaking,5,LA_5,Were listening well to each other
van Offenbeek,2001,Learning_Activities,Convergent_Sensemaking,6,LA_6,Were helping each other to form sound opinion
van Offenbeek,2001,Learning_Activities,Convergent_Sensemaking,7,LA_7,Were debating about interpretation
van Offenbeek,2001,Learning_Activities,Divergent_Sensemaking,8,LA_8,Were spending time on our processes
van Offenbeek,2001,Learning_Activities,Divergent_Sensemaking,9,LA_9,Were looking for evaluative information
van Offenbeek,2001,Learning_Activities,Divergent_Sensemaking,10,LA_10,Were developing shared knowledge
van Offenbeek,2001,Learning_Activities,Divergent_Sensemaking,11,LA_11,Comments on ideas were being acted upon
van Offenbeek,2001,Learning_Activities,Divergent_Sensemaking,12,LA_12,Were always sharing knowledge and information
van Offenbeek,2001,Learning_Activities,Storage_and_Retrieval,13,LA_13,My team was using team documents
van Offenbeek,2001,Learning_Activities,Storage_and_Retrieval,14,LA_14,Were storing in minutes
van Offenbeek,2001,Learning_Activities,Storage_and_Retrieval,15,LA_15,Were storing our knowledge in an archive
Bunderson et al.,2002,Learning_bunderson,Learning_Orientation_b,1,bL_1,The team likes challenging and difficult assignments that teach new things
Bunderson et al.,2002,Learning_bunderson,Learning_Orientation_b,2,bL_2,This team is willing to take risks on new ideas in order to find out what works
Bunderson et al.,2002,Learning_bunderson,Learning_Orientation_b,3,bL_3,The team likes to work on things that require a lot of skill and ability
Bunderson et al.,2002,Learning_bunderson,Learning_Orientation_b,4,bL_4,This team actively tries to identify best practices across the organization
Bunderson et al.,2002,Learning_bunderson,Learning_Orientation_b,5,bL_5,This team taps resources outside of the organization for good ideas
Gibson et al.,2003,Team_Learning_gibson,Experimentation,1,gibsonTL_1,This team comes up with many new ideas about how work should be done
Gibson et al.,2003,Team_Learning_gibson,Experimentation,2,gibsonTL_2,"If a new way of doing work is introduced, it often comes from within the team"
Gibson et al.,2003,Team_Learning_gibson,Experimentation,3,gibsonTL_3,This team is frequently the source of ideas that are copied by other teams
Gibson et al.,2003,Team_Learning_gibson,Communication,4,gibsonTL_4,There is open communication in this team
Gibson et al.,2003,Team_Learning_gibson,Communication,5,gibsonTL_5,Everyone has a chance to express their opinion
Gibson et al.,2003,Team_Learning_gibson,Communication,6,gibsonTL_6,Team members maintain a high level of idea exchange
Gibson et al.,2003,Team_Learning_gibson,Codification,7,gibsonTL_7,This team carefully documents how we do our work
Gibson et al.,2003,Team_Learning_gibson,Codification,8,gibsonTL_8,This team has a formal system to capture our good ideas
Gibson et al.,2003,Team_Learning_gibson,Codification,9,gibsonTL_9,This team attempts to record our best practices
Mu et al.,2003,Synergistic_Knowledge_Development,Synergistic_Knowledge_Dev,1,SKD_1,My team work integrated all the different opinions of the team members
Mu et al.,2003,Synergistic_Knowledge_Development,Synergistic_Knowledge_Dev,2,SKD_2,My team always resolved different opinions of members in a constructive manner
