"id","Survey","Item","Category","value"
"TLIE_2","Internal_Learning","People in the team often speak up to test assumptions about issues under discussion.","Reflexivity",4
"TLIE_3","Internal_Learning","In this team, someone always makes sure that we stop to reflect on the teams work progress.","Reflexivity",2
"TLIE_4","External_Learning","This team spends time and effort collecting technical information and ideas from individuals outside of the team.","Exploration",8
"TLIE_5","External_Learning","This team spends time and effort finding out what competing firms or teams were doing on similar projects.","Exploration",4
"TLIE_6","External_Learning","This team spends time and effort scanning the environment inside or outside the organization for marketing ideas and expertise.","Exploration",6
"TLQ_1","Improvement_Seeking","Mistakes are openly discussed in order to learn from them.","Reflexivity",14
"TLQ_2","Improvement_Seeking","Differences between real and expected performance are critically and constructively analyzed","Reflexivity",1
"TLQ_3","Improvement_Seeking","The lessons learned are made available to all the members.","Reflexivity",5
"TLQ_4","Improvement_Seeking","Actions are taken to continuously improve.","Reflexivity",5
"TLQ_6","Open_Communication","Different points of view are expressed openly and sincerely.","Reflexivity",6
"TLQ_7","Open_Communication","People are encouraged to ask why, regardless of their rank","Reflexivity",3
"TLQ_8","Open_Communication","The points of view of others are listened to.","Reflexivity",7
"TLQ_9","Open_Communication","Two way communication  is frequently used.","Reflexivity",3
"TLQ_10","Collaborative_Learning","We learn from each other.","Reflexivity",19
"TLQ_11","Collaborative_Learning","Knowledge is shared among the different team members.","Reflexivity",12
"TLQ_12","Collaborative_Learning","Teamwork is encouraged as a way of learning from others","Reflexivity",6
"TLQ_13","Collaborative_Learning","In group discussions, everyone's opinion is taken into consideration","Reflexivity",1
"bL_1","Learning_Orientation_b","The team likes challenging and difficult assignments that teach new things","Learning, General",4
"bL_2","Learning_Orientation_b","This team is willing to take risks on new ideas in order to find out what works","Learning, General",8
"bL_3","Learning_Orientation_b","The team likes to work on things that require a lot of skill and ability","Learning, General",5
"bL_4","Learning_Orientation_b","This team actively tries to identify best practices across the organization","Learning, General",3
"bL_5","Learning_Orientation_b","This team taps resources outside of the organization for good ideas","Learning, General",6
"dedreuTL_1","Learning","Team members learn a lot from each other.","Learning, General",11
"dedreuTL_2","Learning","My team learns from mistakes and errors.","Learning, General",19
"dedreuTL_3","Learning","Team members ask and give each other feedback.","Learning, General",4
"dzL_1","Learning_Processes","My team members and I criticize each others work in order to improve teaching","Learning, General",6
"dzL_2","Learning_Processes","My team members are prepared to reflect on the way they act","Learning, General",2
"dzL_3","Learning_Processes","My team members and I engage in evaluating our weak points in attaining effectiveness","Learning, General",1
"dzL_4","Learning_Processes","The team often utilizes the different opinions for the sake of obtaining optimal outcomes","Learning, General",1
"TLTM_1","Team_Learning","We regularly take time to figure out ways to improve our team's work processes.","Reflexivity",10
"TLTM_3","Team_Learning","Team members go out and get all the information they possibly can from others, such as customers, or other parts of the organization.","Reflexivity",2
"TLTM_4","Team_Learning","This team frequently seeks new information that leads us to make important changes.","Reflexivity",5
"gibsonTL_1","Experimentation","This team comes up with many new ideas about how work should be done","Exploration",6
"gibsonTL_2","Experimentation","If a new way of doing work is introduced, it often comes from within the team","Exploration",7
"gibsonTL_3","Experimentation","This team is frequently the source of ideas that are copied by other teams","Exploration",3
"gibsonTL_4","Communication","There is open communication in this team","Sharing",1
"gibsonTL_5","Communication","Everyone has a chance to express their opinion","Sharing",3
"gibsonTL_6","Communication","Team members maintain a high level of idea exchange","Sharing",5
"gibsonTL_7","Codification","This team carefully documents how we do our work","Information Management",3
"gibsonTL_8","Codification","This team has a formal system to capture our good ideas","Information Management",3
"gibsonTL_9","Codification","This team attempts to record our best practices","Information Management",2
"LO_1","Learning_Orientation","We are willing to select a challenging work assignment that we can learn a lot from","Learning, General",7
"LO_2","Learning_Orientation","We often look for opportunities to develop new skills and knowledge","Learning, General",8
"LO_3","Learning_Orientation","We enjoy challenging and difficult tasks where well learn new skills","Learning, General",7
"LO_4","Learning_Orientation","For us, development of work ability is important enough to take risks","Learning, General",2
"LO_5","Learning_Orientation","We prefer to work in situations that require a high level of ability and talent","Learning, General",2
"LFF_1","Learning_from_Failures","When a problem concerning a lack of required resources for completing a task is being raised, our unit members provide an immediate solution, but also inform the management and the relevant department about the problem","Error-based Learning",2
"LFF_2","Learning_from_Failures","When a unit member makes a mistake, her members in the workplace talk to her, not for the purpose of blaming her, but rather for the value of learning","Error-based Learning",7
"LFF_3","Learning_from_Failures","When unit members make a mistake, they inform the relevant manager to enable others to learn from it","Error-based Learning",7
"LFF_4","Learning_from_Failures","A question such as Why do we do the things as such? is fully appreciated in our unit","Error-based Learning",4
"LFF_5","Learning_from_Failures","In our unit, all members are encouraged to ask questions such as Is there a better way to address problems associated with how we provide the health services.","Error-based Learning",4
"TLP_1","Team_Learning_Processes","We share personal insights or learning with one another.","Learning, General",2
"TLP_2","Team_Learning_Processes","We often learn through trying out new behaviors.","Learning, General",7
"TLP_3","Team_Learning_Processes","We learned to drop our departmental perspectives and think from an organization-wide perspective.","Learning, General",5
